Airport ID,City,PageRank
10324,"Amook Bay, AK",3.0487885796546954
13767,"Nuiqsut, AK",3.0217595108419038
10980,"Chattanooga, TN",3.0213417158614058
13296,"Manchester, NH",3.0177442958868927
15295,"Toledo, OH",3.017710186801686
15887,"Newtok, AK",2.9913458339064247
12705,"Kitoi Bay, AK",2.9910359818721406
13003,"Kulik Lake, AK",2.9559101403578043
11952,"Goodnews Bay, AK",2.952833526214436
14805,"Shishmaref, AK",2.950636437134592
12822,"Brevig Mission, AK",2.9383951911445707
12671,"Koliganek, AK",2.934722543393469
14273,"Port Heiden, AK",2.9259526478200386
13434,"Mountain Village, AK",2.9109108985122925
11487,"Anchorage, AK",2.8691660696594194
12211,"Las Vegas, NV",2.868635355934661
13693,"Naukiti, AK",2.859684633336234
11007,"Chalkyitsik, AK",2.8473446609450814
